Group,Category,Year,Value
ALL,ALL TOTAL,2004,9
ALL,ALL TOTAL,2005,8.8
ALL,ALL TOTAL,2006,7.9
ALL,ALL TOTAL,2007,8.2
ALL,ALL TOTAL,2008,8.3
ALL,ALL TOTAL,2009,8.1
ALL,ALL TOTAL,2010,8
ALL,ALL TOTAL,2011,8.2
ALL,ALL TOTAL,2012,9.1
ALL,ALL TOTAL,2013,10.7
ALL,ALL TOTAL,2014,11.4
ALL,ALL TOTAL,2015,12.5
ALL,ALL TOTAL,2016,12.8
ALL,ALL TOTAL,2017,13.3
ALL,ALL TOTAL,2018,14.4
ALL,ALL TOTAL,2019,16
ALL,ALL TOTAL,2020,17
ALL,ALL TOTAL,2021,20.1
ALL,ALL TOTAL,2022,19.5
ALL,ALL TOTAL,2023,18.1
ALL,12,2004,3.9
ALL,12,2005,4.3
ALL,12,2006,4
ALL,12,2007,2.8
ALL,12,2008,3.9
ALL,12,2009,3.6
ALL,12,2010,3.3
ALL,12,2011,2.9
ALL,12,2012,3.7
ALL,12,2013,4.4
ALL,12,2014,5.7
ALL,12,2015,5.4
ALL,12,2016,5
ALL,12,2017,4.8
ALL,12,2018,
ALL,12,2019,
ALL,12,2020,
ALL,12,2021,
ALL,12,2022,
ALL,12,2023,
ALL,13,2004,6.8
ALL,13,2005,6
ALL,13,2006,5.8
ALL,13,2007,5.7
ALL,13,2008,5.7
ALL,13,2009,5.5
ALL,13,2010,5.1
ALL,13,2011,5.1
ALL,13,2012,7.1
ALL,13,2013,7.6
ALL,13,2014,8.7
ALL,13,2015,10.1
ALL,13,2016,9.4
ALL,13,2017,8.8
ALL,13,2018,8.4
ALL,13,2019,10.5
ALL,13,2020,11.2
ALL,13,2021,13
ALL,13,2022,13
ALL,13,2023,11.9
ALL,14,2004,8.3
ALL,14,2005,8.5
ALL,14,2006,7
ALL,14,2007,6.8
ALL,14,2008,7.7
ALL,14,2009,7.1
ALL,14,2010,7.9
ALL,14,2011,7.7
ALL,14,2012,8.6
ALL,14,2013,11
ALL,14,2014,10.7
ALL,14,2015,11.5
ALL,14,2016,12.7
ALL,14,2017,11.8
ALL,14,2018,
ALL,14,2019,
ALL,14,2020,
ALL,14,2021,
ALL,14,2022,
ALL,14,2023,
ALL,15,2004,10
ALL,15,2005,10.4
ALL,15,2006,8.8
ALL,15,2007,10
ALL,15,2008,9.2
ALL,15,2009,10.4
ALL,15,2010,9.8
ALL,15,2011,9.4
ALL,15,2012,11.8
ALL,15,2013,13.8
ALL,15,2014,13
ALL,15,2015,16.1
ALL,15,2016,13.9
ALL,15,2017,17.2
ALL,15,2018,15.3
ALL,15,2019,16
ALL,15,2020,18
ALL,15,2021,20.7
ALL,15,2022,21.4
ALL,15,2023,19.1
ALL,16,2004,12.2
ALL,16,2005,11.2
ALL,16,2006,11.1
ALL,16,2007,11.8
ALL,16,2008,11.6
ALL,16,2009,9.9
ALL,16,2010,10.9
ALL,16,2011,12
ALL,16,2012,11.8
ALL,16,2013,13.1
ALL,16,2014,14.1
ALL,16,2015,16
ALL,16,2016,17.4
ALL,16,2017,16.9
ALL,16,2018,
ALL,16,2019,
ALL,16,2020,
ALL,16,2021,
ALL,16,2022,
ALL,16,2023,
ALL,17,2004,11.4
ALL,17,2005,11.9
ALL,17,2006,10.3
ALL,17,2007,11.1
ALL,17,2008,10.6
ALL,17,2009,10.9
ALL,17,2010,10.3
ALL,17,2011,11.4
ALL,17,2012,10.9
ALL,17,2013,13.2
ALL,17,2014,15.1
ALL,17,2015,15
ALL,17,2016,17
ALL,17,2017,18.5
ALL,17,2018,19
ALL,17,2019,20
ALL,17,2020,22
ALL,17,2021,26.8
ALL,17,2022,23.8
ALL,17,2023,22.7
MALE,MALE TOTAL,2004,5
MALE,MALE TOTAL,2005,4.5
MALE,MALE TOTAL,2006,4.2
MALE,MALE TOTAL,2007,4.6
MALE,MALE TOTAL,2008,4.3
MALE,MALE TOTAL,2009,4.7
MALE,MALE TOTAL,2010,4.4
MALE,MALE TOTAL,2011,4.5
MALE,MALE TOTAL,2012,4.7
MALE,MALE TOTAL,2013,5.3
MALE,MALE TOTAL,2014,5.7
MALE,MALE TOTAL,2015,5.8
MALE,MALE TOTAL,2016,6.4
MALE,MALE TOTAL,2017,6.8
MALE,MALE TOTAL,2018,7.7
MALE,MALE TOTAL,2019,9
MALE,MALE TOTAL,2020,9
MALE,MALE TOTAL,2021,11.5
MALE,MALE TOTAL,2022,11.5
MALE,MALE TOTAL,2023,9.4
MALE,12,2004,2.4
MALE,12,2005,2.9
MALE,12,2006,2.9
MALE,12,2007,1.9
MALE,12,2008,2.8
MALE,12,2009,1.8
MALE,12,2010,2
MALE,12,2011,1.5
MALE,12,2012,2.1
MALE,12,2013,2.9
MALE,12,2014,2.8
MALE,12,2015,2.2
MALE,12,2016,3.1
MALE,12,2017,2.7
MALE,12,2018,
MALE,12,2019,
MALE,12,2020,
MALE,12,2021,
MALE,12,2022,
MALE,12,2023,
MALE,13,2004,3.8
MALE,13,2005,2.3
MALE,13,2006,3.3
MALE,13,2007,2.7
MALE,13,2008,3.2
MALE,13,2009,2.4
MALE,13,2010,2.1
MALE,13,2011,2.2
MALE,13,2012,2.5
MALE,13,2013,3.5
MALE,13,2014,3.9
MALE,13,2015,3.9
MALE,13,2016,3.8
MALE,13,2017,3.6
MALE,13,2018,
MALE,13,2019,
MALE,13,2020,
MALE,13,2021,
MALE,13,2022,
MALE,13,2023,
MALE,14,2004,4.1
MALE,14,2005,4.1
MALE,14,2006,3.2
MALE,14,2007,3
MALE,14,2008,3.8
MALE,14,2009,3.6
MALE,14,2010,3.8
MALE,14,2011,4.7
MALE,14,2012,4.4
MALE,14,2013,4.3
MALE,14,2014,4.6
MALE,14,2015,4.1
MALE,14,2016,5.2
MALE,14,2017,5.2
MALE,14,2018,
MALE,14,2019,
MALE,14,2020,
MALE,14,2021,
MALE,14,2022,
MALE,14,2023,
MALE,15,2004,6.5
MALE,15,2005,4.4
MALE,15,2006,3.9
MALE,15,2007,6.2
MALE,15,2008,3.9
MALE,15,2009,6.4
MALE,15,2010,4.2
MALE,15,2011,6.1
MALE,15,2012,6.6
MALE,15,2013,6.3
MALE,15,2014,5.5
MALE,15,2015,5.3
MALE,15,2016,6.5
MALE,15,2017,7.4
MALE,15,2018,
MALE,15,2019,
MALE,15,2020,
MALE,15,2021,
MALE,15,2022,
MALE,15,2023,
MALE,16,2004,5.5
MALE,16,2005,5.8
MALE,16,2006,5.1
MALE,16,2007,6.7
MALE,16,2008,5.6
MALE,16,2009,5.8
MALE,16,2010,6.3
MALE,16,2011,5.6
MALE,16,2012,5.7
MALE,16,2013,7.4
MALE,16,2014,7.5
MALE,16,2015,9.9
MALE,16,2016,9.4
MALE,16,2017,9.8
MALE,16,2018,
MALE,16,2019,
MALE,16,2020,
MALE,16,2021,
MALE,16,2022,
MALE,16,2023,
MALE,17,2004,7.7
MALE,17,2005,7.1
MALE,17,2006,6.8
MALE,17,2007,6.6
MALE,17,2008,6.3
MALE,17,2009,7
MALE,17,2010,7.3
MALE,17,2011,6.7
MALE,17,2012,6.4
MALE,17,2013,7.2
MALE,17,2014,9.7
MALE,17,2015,9.1
MALE,17,2016,9.7
MALE,17,2017,11.6
MALE,17,2018,
MALE,17,2019,
MALE,17,2020,
MALE,17,2021,
MALE,17,2022,
MALE,17,2023,
FEMALE,FEMALE TOTAL,2004,13.1
FEMALE,FEMALE TOTAL,2005,13.3
